,strain_id,strain,type,Rating,effects,description,Flavors
2212,2212,walker kush,hybrid,4.55,"relaxed, uplifted, happy, focused, euphoric","walker kush is the rare dankness cross of albert walker and rare dankness #1. these stimulating genetics blend afghan skunk, ghost og, and chemdawg into a multifaceted indica-dominant hybrid that uplifts while remaining grounded in soothing body effects. happy yet laidback, this strain is preferred for add/adhd, depression, and ptsd. ","woody, spicy/herbal, flowery"
2191,2191,vanilluna,hybrid,4.55,"sleepy, happy, relaxed","world renowned oregon breeder dj short used his legendary blueberry genetics to create this 50/50 hybrid, vanilluna. by pollinating a sativa-dominant female blueberry with the original blueberry indica male, he created a medium-tall, kush-like plant with short internodal spacing, dark green foliage, and fragrant spade-shaped buds. the terpenes produced by vanilluna give off subtle, complex aromas of creamy vanilla and honey with undertones of flowers and melon. its high is very long-lasting, dreamy, and comfortable, especially considering it has thc levels up to 24%. ","sweet, blueberry, lavender"
54,54,afternoon delight,hybrid,4.55,"talkative, relaxed, uplifted, tingly, creative","afternoon delight, created by colorado seed inc., is a difficult strain to track down. noted for its small, dense nuggets and an aroma of pine and pungent terpenes, afternoon delight is described as an indica-dominant hybrid with a hazy aura that engulfs the mind and body. but indulge with caution, as this hybrid has also been known for its potency. ","pungent, citrus, tropical"
1538,1538,pamelina,indica,4.55,"euphoric, relaxed, happy, sleepy, uplifted","pamelina by rare dankness is a powerful indica-dominant strain supposedly named for a love interest of one of its breeders. this strain was crafted from the forum cut of girl scout cookies and rare dankness #2, creating a high-yielding, pungent plant with a 58 to 65 day flowering time. pamelina expresses deep green and purple hues as well as doughy tasting terpenes with touches of windflower and fuel notes. this strain has been known to reduce stress and physical discomfort. ","chemical, sage, flowery"
1465,1465,ocas cloud 9,hybrid,4.55,"energetic, happy, uplifted, euphoric, talkative","oca’s cloud 9 is a phenotype of the mysterious brazilian landrace strain known as borderliner. though the flowers don’t have a pronounced odor, just a slightly sweet smell, they pack a serious punch, some testing at over 30% thc. and while borderliner is noted for having a heavy, indica-like effect, oca’s cloud 9 gives users an energizing and uplifting high that is good for combating depression and anxiety while also offering excellent pain relief. keep in mind this strain is different from cloud 9 by kiwiseeds and dampkring classics.","citrus, flowery, tea"
2213,2213,wally og,hybrid,4.55,"relaxed, happy, sleepy, creative, focused","wally og, said to be a ghost og and phantom og cross, is an indica-dominant hybrid with potent full-body effects.","flowery, earthy, butter"
816,816,future,hybrid,4.55,"relaxed, euphoric, uplifted, sleepy, happy","future by exotic genetix is a strain of cannabis crafted in the present, but sent from the future. this potent cross of gorilla glue #4 and starfighter f2 delivers immediate euphoria that elevates the mind and relaxes the body. the strength of this strain has been known to dole out anxiety in novice consumers, so mind your dosage. but overall, future is a wonderfully potent hybrid cross with aromas of chemical and chocolate with a light, earthy sweetness. utilize this strain throughout the day to curb nausea and depression. ","diesel, earthy, citrus"
1427,1427,narnia,sativa,4.55,"happy, creative, euphoric, uplifted, energetic","narnia, a strain produced by soulshine cannabis and developed by advanced growing technologies, is the stimulating sativa-dominant cross of jack herer and trainwreck. it has an incredibly fast onset, imbuing consumers with an amplified sense of their imaginations while promoting upbeat physical activity. this long-lasting strain has massive trichome production and a terpene profile rich with citrus tang, spice, and a touch of sweetness. enjoy narnia to enhance mood, encourage creativity, and nullify lethargy. ","sweet, citrus, spicy/herbal"
448,448,caramella,indica,4.55,"aroused, euphoric, relaxed","caramella is an 80/20 indica-dominant strain recommended for late nights out with friends as it provides an uplifting and social high. this robust strain produces long colas, deep green leaves, and sticky resin scattered around the plant like fairy dust. this easy-to-grow indica finishes flowering in about 8 to 9 weeks.","menthol, spicy/herbal, sweet"
1419,1419,mt rainier,hybrid,4.55,"happy, uplifted, relaxed, aroused, tingly","as beautiful as the snowcapped mountain this strain was named after, the resinous mt. rainier hybrid was bred by redeyed genetics and hails from the pacific northwest. northern lights #5 meets white lotus to create these frosty flowers that unleash scents of sweet citrus and fresh pine. this hybrid is great for daytime use, but don’t overdo it if you intend to stay functional and productive.","earthy, woody, sweet"
792,792,four star general,hybrid,4.55,"euphoric, hungry, sleepy, relaxed, happy","four star general from fire bros. is an indica-dominant cannabis strain that brings together genetics from two chemdawg hybrids, stardawg and tres dawg. its buds are a vibrant show of purple and green calyxes wrapped in red-orange hairs, all shrouded by a sparkling coat of frosty resin. sweet and earthy with sour notes, four star general’s effects weigh down the mind with serene, dreamy euphoria.","diesel, flowery, earthy"
1282,1282,logic diesel,hybrid,4.55,"talkative, energetic, happy, uplifted, euphoric","created by groundswell cannabis boutique in denver, co at the request of world-renowned electronic/acid jazz musician dj logic, logic diesel is a cross between mystic kush and nyc diesel. it has a sweet and sour, skunky diesel odor and flavors ranging from sweet sandalwood to spicy fuel. logic diesel will provide an intense, exciting sense of euphoria along with a mildly relaxing body high that is perfect for hitting the dance floor.","diesel, skunk, minty"
1283,1283,longbottom leaf,hybrid,4.55,"euphoric, happy, uplifted, energetic, hungry","longbottom leaf is the name of the pipe-weed the hobbits of middle earth would enjoy between meals. this sweet, slightly stimulating sativa-dominant hybrid is a mix of jack’s cleaner and sfv og. longbottom leaf hits the head immediately, delivering lung expansion and a mental sizzle that settles into the body and leaves the consumer in state of alert tranquility. these latent og elements make longbottom leaf an excellent functional option for patients seeking daytime relief from minor physical discomfort. the crystalline buds exhibit notes of citrus and celery, while the flavor is tart and musky.   ","pepper, sweet, spicy/herbal"
458,458,catfish,sativa,4.55,"uplifted, creative, energetic, euphoric, happy",catfish is a sativa strain that took 1st place in the high times 2014 michigan medical cannabis cup.,"earthy, ammonia, chemical"
1398,1398,moon cookies,hybrid,4.55,"hungry, focused, euphoric, happy, relaxed","moon cookies is a twice deep gsc x gsc cross that is certain to moon rock you! this intergalactic herb’s stinky-sweet terpene profile is a complex melange of dough, earth, and green forest. the effects are those of classic girl scout cookies, and the buds are resinous rocks that are hard and dense. enjoy moon cookies into the afternoon as the physical effects of this strain can get heavier and more sedative with continued consumption. but in good measure, moon cookies offers a bright cerebral buzz that can improve mood while its physical effects mute minor physical discomfort, nausea, and stress.     ","spicy/herbal, minty, flowery"
520,520,chocolate og,indica,4.55,"relaxed, uplifted, euphoric, aroused, tingly","chocolate og by is another chocolatey genetic cross from thclones. this strain was created through the union of pungent parent strains true og and chocolate rain. its indica-dominant genetics offer relaxing qualities that get heavier with continued consumption. giggly euphoria and bright citrus/grapefruit aromas speak to traditional og attributes inherited from true og. the taste takes on a cheesy, nutty flavor upon combustion, leaving a savory note on the palate.    ","sweet, earthy, pungent"
786,786,flo walker,hybrid,4.55,"happy, relaxed, creative, energetic, euphoric","flo walker from award-winning breeder, the vault genetics, is an exceptional indica-dominant cross with potency and flavor. by combining the legendary likes of skywalker og and dj short’s flo, flo walker takes on the calming sedative body of its afghani parentage while commingling with flo’s brilliant flavor and clear mental state. enjoy this strain in the evening to temper physical pain and restlessness.","citrus, lemon, earthy"
765,765,extreme cream,indica,4.55,"relaxed, sleepy, happy, uplifted, euphoric","extreme cream by exotic genetix is the pungent cross between extreme og and cookies & cream. this strain develops deep purple colas dusted with trichomes and emits a strong, earthy aroma that is somehow creamy on the nose and buttery on the palate. extreme cream’s effects are uplifting, offering mood elevation that abates anxiety and spurs conversation. expect traditional indica effects alongside heady euphoria, appetite stimulation, and couch lock.   ","butter, sweet, earthy"
1390,1390,molokai frost,indica,4.55,"relaxed, euphoric, happy, creative, uplifted","moloka’i frost (also known as moloka’i hashplant) is a potent sativa-dominant strain with a robust medicinal history. in 1969, residents of the lalaaupapa moloka’i leper colony were allowed to leave and access modern medicine. but a special medicine also left the kalawao valley (pronounced ka-la-wow), too. this flower grows like a sativa, but exhibits extremely powerful indica-like effects, including heavy sedation, strong analgesic effects, and latent euphoria that complements this strain’s heavy body elements. this rare resinous flower is a hawaiian landrace worth seeking out.  ","pungent, woody, chestnut"
2287,2287,wonka s bubbilicious,hybrid,4.55,"creative, hungry, happy, euphoric, focused","a sativa-dominant cross between pandoras box and querkle, wonkas bubblicious has a taste reminiscent of bubblicious bubble gum from your childhood. taste is known to subtly change flavors and tones over the period of two minutes, similar to wonkas candy (thus the name). ","grape, strawberry, sweet"
2290,2290,wookies,hybrid,4.55,"happy, relaxed, euphoric, uplifted, focused","wookies (not to be confused with the strain “wookie” or the enormous, sentient space-bears of star wars) is an indica-dominant cross of white 91 (the white x chemdawg 91) and girl scout cookies. known for its loud terpene profile and high-thc percentage, wookies grows the cookies genetic line while standing firmly on its own in terms of effects. it combines the generous trichome production of white 91 with the minty, musky aroma of the gsc “forum cut” to create a strain that is potent and pleasing to the senses.    ","menthol, earthy, pungent"
767,767,face off og,indica,4.55,"relaxed, sleepy, euphoric, tingly, happy","the story of face off og begins in the late 1990s in california when archive seeds was gifted with the seeds of an exceptional og kush phenotype. this 70/30 indica-dominant hybrid shares its name with the 1997 movie in which nicolas cage and john travolta literally swap faces (“i want to take his face…off!”), and the experience this strain has to offer could arguably be compared to losing your face. dizzying euphoria goes straight to the head in an intensely psychoactive experience best reserved for veteran consumers. its crushing full-body effects make this strain a great choice for resolving severe pain or for relaxing on a lazy weekend.","pungent, sweet, earthy"
1369,1369,mendo breath,indica,4.55,"relaxed, euphoric, sleepy, happy, uplifted","mendo breath is an interesting mix of ogkb (ogkushbreath, which is the supposed patriarch in the cookies fam genetics) and mendo montage. their forces combined make dense frosty buds that reek of sweet vanilla and caramel. but no matter how good this smells, save it for after work. this thumper can pivot your entire day’s plans with its powerful body high built for chronic pain and discomfort. ","earthy, pungent, sweet"
2299,2299,xanadu,sativa,4.55,"focused, happy, energetic, talkative, uplifted","xanadu, named after the extravagant palace of mongol emperor kublai khan, is sativa-dominant strain that delivers soaring cerebral euphoria alongside a skunky, citrus aroma. bred by dutchgrown seeds, xanadu combines a pakistani indica called x-18 with dtc99, a cinderella 99 and durban thai hybrid. although this sativa tends to induce heady, high-energy stimulation, xanadu anchors itself with mellow relaxation that allows one to remain comfortable during the effects duration.","spicy/herbal, pepper, sweet"
2300,2300,y griega,sativa,4.55,"happy, energetic, uplifted, focused, euphoric","also known as simply “y,” the 80% sativa y griega is an energizing strain with a sweet floral, citrus aroma. unusual for a sativa variety, y griega produces large, resin-coated buds on tall stalks. this sativa cross between amnesia haze and kali mist delivers an energetic cerebral buzz followed by a long-lasting calm that soothes both mind and body. y griega’s high thc content makes it suitable for a variety of conditions including pain, inflammation, glaucoma, fatigue, and appetite loss. growers won’t be disappointed with y griega’s yields, but its 85 to 95-day flowering time requires some devotion and patience.","earthy, woody, flowery"
508,508,cherry thunder fuck,hybrid,4.55,"uplifted, happy, energetic, euphoric, focused","cherry thunder fuck is an ultra-pungent strain with unique, long-lasting effects. created by breeding a cherry bomb mother with a maple leaf indica x matanuska thunder fuck cross, cherry thunder fuck offers an array of pungent, earthy aromas wrapped in the smell of overripe cherries. with elevated euphoria and a pleasant pressure behind the eyes, this canadian native works to relieve minor pain while infusing the mind with uplifting alertness. enjoy cherry thunder fuck to calm the body while stimulating the appetite and improving mood.  ","berry, pungent, earthy"
485,485,chemnesia,hybrid,4.55,"uplifted, euphoric, relaxed, happy, energetic","chemnesia has been dubbed one of the most powerful strains in illinois by its breeder, bedford grow. this genetic synthesis of amnesia sour diesel and i-95 offers consumers invigorating mental and physical effects that help combat fatigue, depression, and inflammation. the potent strain can also promote focus and creativity in the proper dose. emitting a pleasant aroma of citrus and fuel, chemnesia’s terpene and cannabinoid profile make for a quality sativa-dominant hybrid.  ","diesel, sweet, citrus"
2303,2303,yodas brain,indica,4.55,"sleepy, happy, aroused, relaxed, hungry","yoda’s brain is an indica-dominant cut with dense, crystal-coated buds rich with potency. due to its high thc content, yoda’s brain exhibits a sativa-dominant rush to the head off the get-go. this powerful sizzle in the brain simmers down and wraps the body in a weighted aura some might consider meditative. it has a slightly floral aroma with overtones of earth and spices. enjoy yoda’s brain near the end of the day to amplify its relaxing, sedative effects.   ","pine, sage, flowery"
784,784,flo limone,sativa,4.55,"euphoric, relaxed, uplifted, happy, tingly","flo limone is colorado seed’s twist on a cannabis classic. flo, the 1996 cannabis cup winner known for its light and bright buzz, is crossed against nina limone (super lemon haze x rebel god smoke) to create an outstanding, full-flavored sativa that is motivating without an aggressive raciness. the terpene profile has also been described as aroma therapeutic, with notes of citrus incense intermixed with moroccan hash. ","lemon, sweet, tropical"
1313,1313,majestic 12,hybrid,4.55,"relaxed, tingly, happy, euphoric, creative","3c majestic 12 satisfies all the requirements of a delicious ‘purple’ strain. leaves of violet and purple? check. dense with frosty trichomes and orange pistols? check. deep, sweet earthy flavor? check. extremely relaxing on the mind and body? check. this strain is named for a secret committee of scientists, military, and government officials organized to investigate and recover an alien spacecraft—an apt title for this hybrid blend of space queen and obama og. it hits the mind first, but is closely followed by total body relaxation. majestic 12 is preferred by patients looking to tackle anxiety and pain at the same time. ","earthy, sweet, berry"
802,802,frosted freak,hybrid,4.55,"happy, relaxed, focused, euphoric, uplifted","frosted freak is a michigan hybrid that crosses brand x with a long-lost sativa-dominant strain known as high roller. she gets her name from the thick dusting of crystal resin that blankets its dense sage buds. with a citrus and piney mint flavor, frosted freak delivers potent effects that relax muscles, encourage the appetite, and calm nerves.","flowery, lime, vanilla"
1274,1274,limon,sativa,4.55,"happy, creative, euphoric, energetic, giggly","created by livwell, limon is a sativa-dominant strain that blends sour diesel, strawberry diesel, and nyc diesel. with notes of diesel and skunk in flavor, these bright green frosty buds will leave you with an uplifting and long-lasting cerebral buzz.","lemon, citrus, diesel"
1437,1437,nexus og,indica,4.55,"relaxed, euphoric, happy, aroused, sleepy",nexus og is an indica strain that competed in the 2014 l.a. cannabis cup.,"sweet, berry, earthy"
1229,1229,legalized og,hybrid,4.55,"hungry, sleepy, relaxed, happy, focused","legalized og is a popularized cut of the famous og kush. this strain’s flavor is piney with fruity nuances that some might describe as grape or berry. the effects set in immediately and envelop the body from the head down with a sedating buzz that lingers and weighs on the body. legalized og stays true to its og roots and would be an ideal cut for patients seeking relief from chronic pain, nausea, or restlessness.  ","pungent, chemical, spicy/herbal"
400,400,burnt cookies,hybrid,4.55,"talkative, uplifted, relaxed","burnt cookies is another flavorful cookies cross from rebel spirit cannabis of oregon. this strain is a cross of fire og and girl scout cookies that expresses tight, vibrant flowers frosted in delicious trichomes. burnt cookies has a pleasant and unique aroma of citrus, mint, and ginger which translates nicely to the bud’s flavor. it prefers to grow indoors and yields tight, dense nugs that speak to the strain’s gsc lineage. this strain’s buzz is functionally cerebral and easy on the body, making it an enjoyable and flavorful choice for all day consumption.  ",none
743,743,electric lemonade,sativa,4.55,"creative, happy, tingly, uplifted, energetic","electric lemonade by palomar craft cannabis is a cross of tahoe og x blue dream. this sativa-dominant strain is a pcc in-house favorite and bridges the gap between sativa and hybrid beautifully, offering energetic physical effects alongside creative mental stimulation. pcc recommends utilizing electric lemonade’s uplifting effects to overcome anxiety and nausea. electric lemonade emits a strong sour lemonade aroma and offers consumers tart lemon flavors that foretell the strain’s mood-enhancing effects.  ","berry, orange, lemon"
1527,1527,oteils egyptian kush,hybrid,4.55,"happy, hungry, relaxed, focused, creative","oteil’s egyptian kush was created through a collaboration between groundswells master cultivator, genetics aficionado: t-dogg gardens, and oteil burbridge, the grammy-winning bassist from the allman brothers and dead & company. with two powerhouse indica-leaning parents, this strain boasts dense nugs and sweet cherry flavor backed up by hints of diesel and anise. energetic and uplifting up front, oteil’s egyptian kush provides a blissful body effect that grabs ahold slowly without weighing you down. this strain may be great for pain management, insomnia, happiness, and relaxation.","earthy, pungent, woody"
1526,1526,ortega,indica,4.55,"relaxed, giggly, uplifted, euphoric, sleepy","ortega by mr. nice seeds is an indica strain bred from northern lights genetics. since its creation in the mid-1980s, oretga has offered growers heavy yields of resinous, sweet-smelling buds that finish flowering in just 6 to 8 weeks. its effects are heavily tranquilizing and help to usher in sleep with late night use. ","spicy/herbal, pepper, earthy"
814,814,funfetti,hybrid,4.55,"happy, relaxed, euphoric, energetic, uplifted","funfetti is a 60/40 indica-dominant hybrid that crosses cherry pie with a select phenotype of animal cookies, nicknamed secret cookies. this strain was originally bred in northern california by a group of breeders know as bay exclusives and was released in limited quantities. funfetti expresses itself in dark shades of purple and blue that contrast the bright orange pistils and milky trichomes covering all available surface area of the bud. it carries a piney og undertone to go along with its sweet creamy flavor that is reminiscent of fresh baked birthday cake. ","berry, woody, earthy"
1510,1510,orange durban,sativa,4.55,"energetic, talkative, uplifted, focused, creative","orange durban is a citrus-heavy version of the african landrace strain durban poison. parent strains orange juice bud and durban poison come together to offer consumers notes of sweet orange intermixed with pine and earthy undertones. this strain’s bright, fruity flavors are underpinned by a stimulating physical energy that encourages activity. the mental state is generally uplifted, with effects that cater to creative pursuits like drawing and dancing. enjoy orange durban during the day to capitalize on the immense burst of energy native to this plant’s genetics.    ","orange, sweet, citrus"
1506,1506,orange creamsicle,hybrid,4.55,"relaxed, happy, euphoric, uplifted, focused","taking the best attributes of parent strains orange crush and juicy fruit, orange creamsicle’s tall structure, heavy colas, and pungent flavor will be sure to keep you coming back for more. this hybrid strain, as the name suggests, has a strong citrus flavor and is used to treat nausea and anxiety. growers will be happy with this heavy producer that flowers in 9 weeks with beautiful orange-white coloring and a thick coating of resin.","citrus, orange, sweet"
543,543,citrus sunshine haze,hybrid,4.55,"happy, uplifted, focused, creative, energetic","citrus sunshine haze by cereal killer genetics is, as they describe it, “sunshine in a bag.” it was created by crossing super lemon haze and kosher tangie #2. this genetic combination yields three distinct phenotypes ranging from 75/25 sativa-dominant to an even 50/50 split. all phenotypes share a magnificent citrus aroma that runs the gamut from lemon and lime candy, orange, and tangerine with a hint of herbaceous spice. with an average thc content of 28%, citrus sunshine haze is not for the unseasoned consumer. this strain is a quality option when looking to combat depression, laziness, and mild pain while remaining upbeat.  ","citrus, orange, lemon"
1500,1500,opium,hybrid,4.55,"happy, relaxed, euphoric, uplifted, giggly","opium by paradise seeds is an even 50/50 hybrid that offers the best of both indica and sativa strains. this strain won 2nd place at the 2006 high times cannabis cup and has grown in popularity since. known to flourish indoors, this plant grows fat, resinous colas when hydroponics are employed. outside, this strain is a different beast, growing more fickle in guerrilla cropping conditions. ","earthy, citrus, flowery"
2224,2224,west coast dawg,indica,4.55,"relaxed, happy, euphoric, uplifted, creative","west coast dawg is a thoroughbred west coast local that harnesses the potency of chemdawg while remaining indica-dominant in effect. the flavor and powerful onset howl chemdawg, exhibiting flavors of fuel, chemicals, pine, and a floral undertone that speaks to its latent kush genetics. the addition of usa humboldt provides an enjoyable relaxation on the body that is amplified by chemdawg’s inherent potency, leading to powerful sedation with continued use. enjoy this strain near the end of the day, as it will gladly lock you to your couch while curbing stress and pain, stimulating appetite, and encouraging rest. ","sweet, woody, nutty"
1496,1496,omega,hybrid,4.55,"euphoric, happy, tingly, relaxed, uplifted","bred over generations from white widow, kush, nyc diesel, and permafrost genetics, omega by rogue buds is a hybrid strain that lets the mind soar while relaxing the body. this high-thc strain carries a pungent and complex aroma comprised of earthy pine, sweet citrus, and spicy menthol notes. omega eases muscle tension and frees the headspace of excessive stress, making this strain a perfect partner for winding down after a long day.","menthol, spicy/herbal, sweet"
28,28,ace killer og,indica,4.55,"relaxed, sleepy, euphoric, happy, uplifted","ace killer og is an indica strain that boasts a high thc content and a pungent diesel aroma. bred from white fire og, king’s kush, kosher kush, and a mystery strain, ace killer og inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.","earthy, diesel, spicy/herbal"
1480,1480,og skunk,hybrid,4.55,"happy, euphoric, creative, relaxed, uplifted","a cross between og #18 and skunk #1, og skunk is a 60% sativa-dominant hybrid from dna genetics. flavors of sour fuel and skunky citrus are sure to please fans of both parent strains, while the high offers a nice uplifting head effect along with a relaxing body buzz. its thc levels have been measured between 16% and 22%.","skunk, woody, pine"
745,745,elmers glue,hybrid,4.55,"hungry, relaxed, uplifted, euphoric, focused","elmer’s glue by relentless genetics is an embellishment of the potent and famous gorilla glue #4. this strain is a cross of gorilla glue #4 and the white, and it is considered by some to be an improvement on gg4’s flavor and trichome production. elmer’s glue retains the sharp pine, astringent, and fuel aromas of its dominant parent while expressing more subtle sweet, earthy notes on the exhale. beyond this strain’s incredible trichome coverage, the height, yield, and flowering time are relatively average. ","sage, pepper, sweet"
1475,1475,og la affie,indica,4.55,"relaxed, happy, uplifted, focused, creative","og la affie from dna genetics is a pure indica variety best known for parenting the famed la confidential. this indica powerhouse is chosen by many patients treating pain and insomnia because, unlike many other pure indica strains, og la affie provides swift relief without inevitable sedation. instead, it offers an unusually energetic and psychedelic buzz that makes you wonder how a sativa never made it into the genetic mix. the aroma is a subtle blend of earthy and sweet, similar to that of its la confidential offspring.","earthy, pepper, woody"
1464,1464,oca gold,indica,4.55,"sleepy, relaxed, tingly, euphoric, happy","oca gold by oregon cannabis authority is a potent indica-dominant cross of afghani and hindu kush. this sedative genetic union is a natural bedfellow for consumers seeking relief from insomnia, restlessness, and minor physical discomforts. its heavy physical effects ground the body and mind in a blissful, tranquilizing state. oca gold has a kushy terpene profile that reeks of sweet floral and hashy aromas. ","spicy/herbal, sweet, flowery"
1457,1457,northern wreck,indica,4.55,"relaxed, euphoric, happy, tingly, creative","northern wreck is an indica-dominant strain that combines the dizzying strength of northern lights with the complex cerebral sensations of trainwreck. get to a comfortable place, because northern wreck will leave you melting under the force of its euphoria. with its heavy yields and fast flowering cycle, northern wreck is a blessing to commercial growers looking to harvest a lot of product quickly.","earthy, woody, citrus"
1250,1250,lemon marmalade,hybrid,4.55,"uplifted, happy, euphoric, relaxed, tingly","lemon marmalade is a potent hybrid from washington state, bred by platinum extracts. the strain was developed by crossing deadhead og with cookie dough, a select phenotype of girl scout cookies. caked with trichomes and radiating citrus and diesel fumes, lemon marmalade creates a complex flavor mix of lemon and piney kush with subtle fruit undertones. lemon marmalade took home the prize for best bho – thc at the 2015 dope cup in seattle and rumor has it the flower has tested upwards of 30% thc. the effects from lemon marmalade come on quick with a euphoric burst of heady energy that quickly levels off into a more relaxing full-bodied experience.","lemon, diesel, sweet"
1449,1449,north american sativa,sativa,4.55,"uplifted, euphoric, focused, happy, relaxed","north american refers to any strain that grows natively in this region. these indigenous vareities (also called landraces) can exhibit indica or sativa characteristics depending on the climate and latitude at which it grows. sativas tend to grow in warmer regions closer to the equator, while the hardier indica varieties are more common beyond 30 degrees latitude.","earthy, pungent, skunk"
532,532,chupacabra,hybrid,4.55,"focused, relaxed, happy, uplifted, energetic","chupacabra looks like a sativa and acts like an indica. with tall, bright green buds that fray into even brighter orange hairs, this wild strain reeks of its golden goat heritage. this strain, bred by colorado seed inc., brings together hawaiian romulan’s mental stylings with island sweet skunk’s brilliant tropical aroma, and is finally anchored by gupta kush. this 50/50 hybrid will leave your mind sizzling as you nestle into your favorite piece of furniture.","earthy, vanilla, sweet"
435,435,cannasutra,indica,4.55,"relaxed, euphoric, sleepy, happy, aroused","cannasutra by delta 9 labs is a 70/30 indica-dominant cannabis strain parented by reclining buddha and sensi star. appropriately derived from the sanskrit love guide kama sutra, this strain is said to sharpen the senses for enhanced romantic encounters. mellow and functional enough to leave mental acuity intact, cannasutra is an excellent indica for daytime indulgence. its flavor is comparable to that of incense, with sweet hashy accents that leave you feeling relaxed and peaceful as you exhale.","earthy, sweet, berry"
1272,1272,lime skunk,sativa,4.55,"uplifted, creative, happy, euphoric, energetic","lime skunk, not to be confused with lime green skunk, is the odoriferous offspring of dna genetic’s lemon skunk and exotic genetix’ green ribbon bx, and the latest offering from cresco labs. this sativa-dominant strain by exotic genetix boasts thc content and an unparalleled aroma of fresh limes. its terpene profile is dominated by high concentrations of limonene and pinene, lending its racy yet clear-headed buzz to consumers looking to enjoy a flavorful connoisseur-grade strain while maintaining a high level of productivity.","lime, citrus, pungent"
1168,1168,king cake,hybrid,4.55,"relaxed, euphoric, uplifted, happy, aroused","king cake is a clone-only strain from oregon growers golden beaver farms that combines ken’s granddaddy purple with mystic gem and was originally released under the name disco glitter. it has tested at up to 20% thc and combines an uplifting and creative head high with a relaxing body feel. king cake features a unique terpene profile that smells like sweet basil and licorice and produces frosty purple, green, and yellow flowers reminiscent of the mardi gras pastry after which it is named.","sweet, vanilla, skunk"
1998,1998,suicide girl,hybrid,4.55,"talkative, euphoric, uplifted, relaxed, tingly","suicide girl by calyx gardens is the cleverly named cross of poison og and platinum girl scout cookies. this beautiful and potent cannabis strain delivers hearty mid-level sedation in the body and a sizzling mental buzz that carries the consumer forward. the flavor and aroma are rich with fuel, fruit, and spices like star anise and pepper. utilize suicide girl to combat anxiety, depression, and minor pain.  ","violet, sweet, citrus"
1016,1016,hercules,hybrid,4.55,"happy, uplifted, energetic, giggly, creative","hercules! hercules! these hybrid buds are a blend of hawaiian urkle and gupta kush crafted by colorado seed inc. a 60/40 sativa-dominant blend, hercules offers the functional sedation of kush with the mental alertness native to strong sativas. this all-day strain is ideal for physical activity, including, but not limited to: fighting cerberus or eating an entire box of cereal.  ","earthy, sweet, tropical"
1843,1843,silverfalls kush,hybrid,4.55,"relaxed, euphoric, giggly, happy, hungry",silverfalls kush is a disease-resistant strain that is known to grow strong and tall in many different environments. its 50/50 hybrid genetics make it versatile and well suited for mood enhancement and paint relief. this particular kush is highly sought after as an outdoor strain due to its resilient genetics and strong effects that make it enjoyable both at home or outdoors. ,"sweet, spicy/herbal, strawberry"
1881,1881,sojay haze,sativa,4.55,"uplifted, euphoric, talkative, relaxed, hungry","sojay haze by cresco labs is a powerful sativa with uplifting attributes. cresco farms brought the famous bc big bud and the rare grape fx together to create a sweet, satisfying flavor and deep physical effects. with pungent floral undertones and a bright citrus aroma, sojay haze offers uplifting physical energy and kind euphoria. enjoy this strain to combat fatigue, appetite loss, and depression or as a helpful companion to physical activity. ","citrus, spicy/herbal, sweet"
964,964,haleighs hope,hybrid,4.55,"relaxed, happy, uplifted, talkative, euphoric","haleigh’s hope is a high-cbd strain from colorado named after a 4-year old with cerebral palsy and epilepsy. her conditions were treated with an oil derived from this strain, which exhibits a cbd:thc ratio of 24:1. this low-thc, high-cbd cannabinoid profile was finally achieved after four years of crossing and selecting from hundreds of different phenotypes.","earthy, pine, pungent"
845,845,ghost og moonshine,indica,4.55,"happy, uplifted, euphoric, hungry, relaxed","ghost og moonshine is described as a “chameleon” by breeder colorado seed inc. some consumers feel the immediate stimulation from the strain’s blue moonshine genetics while others experience intense appetite ignition, making this strain versatile and exceptionally useful for those combating anorexia/eating disorders, chemotherapy side effects, stress, anxiety, and nausea.     ","pungent, skunk, pine"
117,117,appalachia,hybrid,4.55,"relaxed, euphoric, happy, creative, giggly","appalachia is a hybrid cross between green crack and tres dawg bred by high & lonesome seeds. a layer of white, cloudy trichomes gives the buds a sage green color with darker leaves and fiery hairs peeking out from underneath. with an aroma of earthy pine and subtle fruit, appalachia delivers a dreamy and yet functional cerebral buzz paired with relaxing full-body effects. sensory perception and appetite are sharpened while pain and other symptoms dull, making appalachia a coveted strain among medical patients and recreational consumers alike.","pungent, skunk, earthy"
2093,2093,tesla tower,sativa,4.55,"tingly, uplifted, relaxed, creative, energetic","a cross of lazy bee garden’s favorite sativa hybrids, tesla tower is a robust strain with cerebral effects. this in-house cross offers the creative attributes of white fire og with the uplifting, energetic high of snowcap, creating an upbeat buzz that is both stimulating and motivating. this strain is a helpful companion while getting chores done or going on an adventure. tesla tower was also runner up best sativa at the 2017 dope cup. ","pepper, sweet, berry"
