,strain_id,strain,type,Rating,effects,description,Flavors
974,974,harley twin,sativa,5.0,"uplifted, creative, energetic, euphoric, relaxed","harley twin is a cbd-rich, sativa-dominant strain that inherits genetics from harle-tsu and harlequin. this wellness oriented combination has an alert buzz that is maintained by its balanced thc/cbd ratio, encompassing the mind in soft haze while gently stimulating the body. these effects coupled with the natural anti-inflammatory qualities inherent to harley twin can help turn down the dial on minor physical pain, stress, and nausea. anticipate a grassy aroma with a hint of cherry sweetness after combustion/vaporization. ",sweet
1851,1851,skins skunk,hybrid,5.0,"euphoric, happy, relaxed, sleepy, uplifted","this 60% indica-dominant hybrid from loud seeds is a result of years of work that started by pollinating an elite clone-only afgoo found in sonoma with a male michigan skunk. selected and bred to the f4 generation, skins skunk produces generous yields of hashy smelling flowers with thc levels ranging from 17% to 21% and cbd levels up to 2%.","lemon, sweet, strawberry"
968,968,haoma mist,hybrid,5.0,"tingly, happy, relaxed, uplifted, euphoric","haoma mist crosses a haoma indica with the hybrid cannatonic, resulting in one thc-rich indica-dominant hybrid.","sweet, flowery, citrus"
1867,1867,smelliot,hybrid,5.0,"uplifted, happy, creative, euphoric, focused","smelliot, named after its flavorful and pungent buds, is a hybrid strain that crosses abusive og with nyc diesel. smelliot amplifies the signature og aromas of diesel, lemon, and pine in its flavorful delivery of relaxation and mental invigoration. this hybrid brings with it a jarring cerebral onset that awakens creativity and happiness, but those new to cannabis should be wary of smelliot’s intensity. after some time, its effects spread throughout the body, providing relief to tension, mood disorders, depression, and stress. growers cultivating smelliot plants indoors should allow a flowering time of 60 to 70 days.","citrus, ammonia, sweet"
1041,1041,huckleberry hound,hybrid,5.0,"creative, euphoric, happy, relaxed","huckleberry hound is an obscure hybrid that has alleged roots in blueberry and chemdawg families. with notes of berry intermixed with a palatable melange of chemicals, this flowers bouquet is challenging but worthwhile. expect airy body effects that take on more weight with time and cerebral effects that remind many of sour diesel’s type of mental stimuli. most chemdawg lineage is potent, so be aware, as this strain is a howler. ","blueberry, skunk, chemical"
1763,1763,rocky dennis,hybrid,5.0,"euphoric, happy, uplifted, relaxed, sleepy","rocky dennis by cannarado genetics is terpene-rich cross of two naturally aromatic strains, co flo and sour dubble. this genetic combination delivers a sweet and sour aroma with distinctly earthy undertones, expressing a chemically taste on the exhale. this unique flavor profile makes it perfect for concentrates and is also alluring to seasoned cannabis consumers looking to challenge their palate. enjoy rocky dennis in small doses to maintain a functional buzz that mutes minor aches while dulling your sense of fatigue and stress. ","diesel, earthy, citrus"
649,649,diamond valley kush,hybrid,5.0,"happy, relaxed, sleepy, creative, energetic","diamond valley kush is an indica-dominant hybrid that produces dense, medium-sized buds that emanate a classic og aroma. these earthy nuggets have bright green foliage with brownish orange hairs throughout. this kush variety supplies a deep, stoney buzz to the body and flushes the mind of anxiety and depression. newbies, approach this powerful indica strain with caution. ","earthy, spicy/herbal, pungent"
1720,1720,raindance,hybrid,5.0,"happy, uplifted, energetic, giggly","raindance by greenpoint seeds is a vigorous cannabis variety with quick vegetative growth and a generous yield. a cross of deadhead og x (chemdawg 4 x chemdawg bx), this strain is a quick and vigorous take on the og and chemdawg genetic lines, with strong emphasis on chemical aromas. consumers should also detect a pungent, skunky aroma dominated by tart lemons, pine needles, and diesel fumes. raindance is primarily indica-dominant, but also offers pleasant cerebral effects. it can be utilized for midday pain, anxiety, depression, and general decompression after a long day. this is a must for og and chem lovers!","grapefruit, tropical, flowery"
1696,1696,purple tears,hybrid,5.0,"sleepy, tingly, happy, hungry, relaxed","purple tears by dirt farmer genetics is a pleasant twist on an old favorite. it’s the product of breeding querkle and delahaze, creating a strain with the aroma of musty grape and hash, and effects that are distinctly sedating. purple tears usually bends toward the purple urkle phenotype, but has been known to pop a delahaze plant from time to time with sativa-dominant qualities. the leaves and calyxes take on a deep purple hue while the plant matures, giving purple tears a solid visual presentation to go along with its potent purple effects.","diesel, sweet, berry"
1111,1111,jericho haze,sativa,5.0,"tingly, uplifted, creative, energetic, focused","jericho haze in an indian landrace sativa that was transplanted stateside by vidl of oregon. this strain was backcrossed to emphasize and stabilize its alluring attributes, including a sweet melon and strawberry aroma and energetic physical effects. jericho haze offers an intense physical energy that hits hard and fades slow, leading to a stimulated appetite as the high fades. its dark leaves and copper hairs are a stark contrast against the frosted, nearly blue buds that develop over a naturally long flowering cycle. utilize jericho haze to combat lethargy while stimulating appetite. ","strawberry, apple, earthy"
